Row;Previous Coordinates;Current Coordinates;Target Road;Detected Road;Result;City
188;"40.635964,22.954538";"40.635839,22.954473";Αγ Δημητρίου;Αγίου Δημητρίου;PASS;Thessaloniki
189;"40.656566,22.931363";"40.656573,22.931185";Παπαδοπούλου;Αλεξάνδρας Παπαδοπούλου;PASS;Thessaloniki
190;"40.649383,22.947653";"40.649288,22.94778";Αντωνίου Τρανού;Αντ. Τρανού;PASS;Thessaloniki
191;"40.644467,22.940472";"40.644393,22.94062";Αυρηλιάνης;Αυρηλιανής;PASS;Thessaloniki
192;"40.658375,22.929631";"40.658498,22.929703";Κολοκοτρώνη;Κολοκοτρώνη;PASS;Thessaloniki
193;"40.64478,22.921969";"40.644822,22.922138";Αλιάκμονος;Αλιάκμονος;PASS;Thessaloniki
194;"40.64604,22.925896";"40.645932,22.92579";Μοναστηρίου;Μοναστηρίου;PASS;Thessaloniki
195;"40.649582,22.939758";"40.649544,22.939587";Βορείου Ηπείρου;Βορείου Ηπείρου;PASS;Thessaloniki
196;"40.639821,22.946394";"40.639708,22.946297";Αγ Δημητρίου;Αγίου Δημητρίου;PASS;Thessaloniki
197;"40.637052,22.93472";"40.636952,22.934602";Ναυάρχου Κουντουριώτου;Ναυάρχου Κουντουριώτου;PASS;Thessaloniki
198;"40.633031,22.948246";"40.63314,22.94835";Εγνατία;Εγνατία;PASS;Thessaloniki
199;"40.619856,22.95364";"40.619988,22.953601";Βασίλειου Χατζή;Βασιλείου Χατζή;PASS;Thessaloniki
200;"40.650993,22.954356";"40.651037,22.954188";Παπαφλέσσα;Παπαφλέσσα;PASS;Thessaloniki
201;"40.629704,22.963467";"40.62968,22.963642";Βυζάντος Βιζυης;Βιζύης Βύζαντος;PASS;Thessaloniki
202;"40.62817,22.967124";"40.62804,22.967075";Καστοριάς;Καστοριάς;PASS;Thessaloniki
203;"40.660462,22.948869";"40.660596,22.948851";Αγίου Παντελεήμονος;Αγίου Παντελεήμονα;PASS;Thessaloniki
204;"40.658605,22.947735";"40.658496,22.947631";Σβορώνου;Σβορώνου;PASS;Thessaloniki
205;"40.648236,22.938049";"40.64837,22.938058";Καυκάσου;Καυκάσου;PASS;Thessaloniki
206;"40.625125,22.956119";"40.62517,22.956286";Γρ Λαμπράκη;Γρηγορίου Λαμπράκη;PASS;Thessaloniki
207;"40.627111,22.94969";"40.627001,22.949587";Στρ Τσιρογιάννη;Τσιρογιάννη;PASS;Thessaloniki
208;"40.645648,22.939965";"40.645765,22.940054";Θερίσου;Στράτη Μυριβήλη;FAIL;Thessaloniki
209;"40.65641,22.951097";"40.656518,22.951203";Ελπίδος;Ελπίδος;PASS;Thessaloniki
210;"40.647932,22.960778";"40.647994,22.960621";Σκρα;Σκρα;PASS;Thessaloniki
211;"40.620296,22.955835";"40.62043,22.955812";Ευζώνων;Ευζώνων;PASS;Thessaloniki
212;"40.637153,22.948247";"40.63723,22.948101";Αμύντα;Αμύντα;PASS;Thessaloniki
213;"40.656931,22.958225";"40.657016,22.958087";Αγίου Ιωάννου Θεολόγου;Βίτσι;FAIL;Thessaloniki
214;"40.652573,22.958359";"40.652655,22.958499";Δημητσάνας;Δημητσάνας;PASS;Thessaloniki
215;"40.642007,22.932038";"40.641934,22.932187";Προμηθέως;Προμηθέως;PASS;Thessaloniki
216;"40.645898,22.936976";"40.646022,22.936904";Τυρολόης;Μητροπολίτου Τυρολόης;PASS;Thessaloniki
217;"40.638784,22.946527";"40.638674,22.946426";Ολύμπου;Ολύμπου;PASS;Thessaloniki
218;"40.639558,22.952548";"40.63967,22.95245";Πλατεία Βασ. Ρομφέη;Πλατεία Βασ. Ρομφέη;PASS;Thessaloniki
219;"40.651808,22.932102";"40.651817,22.931924";28ης Οκτωβρίου;28ης Οκτωβρίου;PASS;Thessaloniki
220;"40.623479,22.961784";"40.623416,22.961628";Γρ Λαμπράκη;Γρηγορίου Λαμπράκη;PASS;Thessaloniki
221;"40.64291,22.940526";"40.642885,22.940351";Θάλειας;Θαλείας;PASS;Thessaloniki
222;"40.639775,22.938725";"40.639885,22.938827";Καραόλη και Δημητρίου;Καραολή και Δημητρίου των Κυπρίων;PASS;Thessaloniki
223;"40.651669,22.931186";"40.651539,22.931236";Καμέλιας;Καμέλιας;PASS;Thessaloniki
224;"40.640092,22.923361";"40.640075,22.923537";Καρατάσου;UNKNOWN;FAIL;Thessaloniki
225;"40.6545,22.954146";"40.654456,22.954314";Αλεξάνδρου Σβώλου;Αλεξάνδρου Σβώλου;PASS;Thessaloniki
226;"40.642835,22.949234";"40.642752,22.949375";Κυκλάδων;Στράτωνος;FAIL;Thessaloniki
227;"40.65325,22.945604";"40.653216,22.945776";Βασ Κωνσταντίνου;Βασιλέως Κωνσταντίνου;PASS;Thessaloniki
228;"40.646373,22.956486";"40.646345,22.956312";Περγάμου;Περγάμου;PASS;Thessaloniki
229;"40.640309,22.946493";"40.640384,22.946345";Ιωακείμ Σγουρού;Ιωακείμ Σγουρού;PASS;Thessaloniki
230;"40.662574,22.949705";"40.662551,22.94988";Καραισκάκη;Καραϊσκάκη;PASS;Thessaloniki
231;"40.661358,22.957526";"40.661253,22.957416";Αργοναυτών;Αργοναυτών;PASS;Thessaloniki
232;"40.646745,22.923043";"40.646667,22.923188";Κερδυλλίων;Κερδυλλίων;PASS;Thessaloniki
233;"40.637326,22.957333";"40.637435,22.957438";Λεωφ Όχι;UNKNOWN;FAIL;Thessaloniki
234;"40.655868,22.959948";"40.655952,22.95981";Καλλιθέας;Καλλιθέας;PASS;Thessaloniki
235;"40.649304,22.932414";"40.649193,22.932313";Δημ Χαλκοκονδύλη;Χαλκοκονδύλη;PASS;Thessaloniki
236;"40.632819,22.954959";"40.632708,22.954856";Εγνατία;Εγνατία;PASS;Thessaloniki
237;"40.652798,22.939911";"40.652908,22.939809";Μουδανιών;Μουδανιών;PASS;Thessaloniki
238;"40.653237,22.930624";"40.653113,22.930696";Κουτήφαρη;Κουτηφάρη;PASS;Thessaloniki
239;"40.659661,22.954158";"40.65953,22.954198";Αισώπου;Αισώπου;PASS;Thessaloniki
240;"40.646649,22.941084";"40.646755,22.940979";Καυκάσου;Καυκάσου;PASS;Thessaloniki
241;"40.644006,22.952646";"40.644133,22.952585";Καραβαγγέλη;Καραβαγγέλη;PASS;Thessaloniki
242;"40.657828,22.929929";"40.657705,22.929856";Αγία Δημητρίου;Πατριάρχου Γρηγορίου Ε';FAIL;Thessaloniki
243;"40.657099,22.926639";"40.65721,22.926537";Β. Μανούκα;Β. Μανούκα;PASS;Thessaloniki
244;"40.659186,22.928159";"40.659064,22.928081";Αλκιαβιάδου;Αλκιβιάδου;PASS;Thessaloniki
245;"40.648291,22.943556";"40.648382,22.943687";Κολοκοτρώνη;Τραπεζούντος;FAIL;Thessaloniki
246;"40.650931,22.92284";"40.650936,22.923017";Πέραν;Πέραν;PASS;Thessaloniki
247;"40.650884,22.942175";"40.650805,22.942031";Μιχαήλ Καραόλη;Μ. Καραολή;PASS;Thessaloniki
248;"40.65811,22.946931";"40.658244,22.946945";Ελπίδος;Ελπίδος;PASS;Thessaloniki
249;"40.649711,22.924213";"40.649601,22.924112";Αγάθωνος;Αγάθωνος;PASS;Thessaloniki
250;"40.632395,22.964125";"40.632397,22.964303";Σκοπού;Σκοπού;PASS;Thessaloniki
251;"38.236691,21.733012";"38.23673,21.733177";Παναχαικού;Παναχαϊκού;PASS;Patras
252;"38.241072,21.747843";"38.241003,21.74799";Ευρυπήλου;Στρατηγού Παναγόπουλου;FAIL;Patras
253;"38.247767,21.733611";"38.247863,21.733732";Ερμού;Ερμού;PASS;Patras
254;"38.254715,21.74506";"38.254668,21.744899";Κιλκίς;Κιλκίς;PASS;Patras
